Имя,Должность,Подразделение,Зарплата
Пётр Кузнецов,бухгалтер-стажёр,по вертикали,48625
Алексей Смирнов,бухгалтер,линейная,41384
Пётр Смирнов,бухгалтер,линейная,24540
Михаил Смирнов,бухгалтер,комбинированная,94191
Пётр Волков,старший бухгалтер,по вертикали,68964
Пётр Петров,главный бухгалтер,комбинированная,64679
Пётр Сидоров,старший бухгалтер,по вертикали,54856
Иван Волков,главный бухгалтер,комбинированная,22495
Александр Сидоров,бухгалтер,комбинированная,68637
Иван Сидоров,бухгалтер-стажёр,комбинированная,97754
Пётр Иванов,бухгалтер,комбинированная,51420
Михаил Волков,главный бухгалтер,линейная,83736
Алексей Смирнов,старший бухгалтер,по вертикали,85670
Пётр Волков,бухгалтер-стажёр,по вертикали,54714
Михаил Иванов,бухгалтер,комбинированная,72223
Пётр Смирнов,бухгалтер,комбинированная,57291
Пётр Иванов,бухгалтер,по вертикали,50564
Иван Волков,главный бухгалтер,по вертикали,42473
Сергей Петров,бухгалтер-стажёр,по вертикали,89097
Михаил Кузнецов,главный бухгалтер,комбинированная,68579
Сергей Смирнов,бухгалтер,линейная,84320
Алексей Петров,ведущий бухгалтер,комбинированная,24495
Пётр Иванов,бухгалтер-стажёр,линейная,32065
Михаил Волков,бухгалтер-стажёр,комбинированная,37329
Алексей Иванов,помощник бухгалтера,по вертикали,83019
Алексей Иванов,старший бухгалтер,по вертикали,44154
Сергей Иванов,бухгалтер-стажёр,линейная,85519
Сергей Петров,бухгалтер,линейная,37774
Иван Сидоров,главный бухгалтер,по вертикали,91563
Алексей Иванов,главный бухгалтер,комбинированная,25861
Александр Сидоров,ведущий бухгалтер,по вертикали,10317
Алексей Волков,старший бухгалтер,по вертикали,76281
Михаил Сидоров,бухгалтер-стажёр,комбинированная,71128
Алексей Петров,бухгалтер-стажёр,комбинированная,52357
Иван Петров,бухгалтер-стажёр,по вертикали,40693
Александр Смирнов,главный бухгалтер,линейная,92726
Сергей Петров,бухгалтер,по вертикали,30227
Иван Кузнецов,главный бухгалтер,линейная,20336
Сергей Иванов,помощник бухгалтера,по вертикали,23929
Александр Иванов,старший бухгалтер,комбинированная,96292
Александр Иванов,помощник бухгалтера,по вертикали,45200
Пётр Смирнов,бухгалтер,линейная,35310
Сергей Иванов,бухгалтер-стажёр,комбинированная,68687
Михаил Смирнов,бухгалтер-стажёр,по вертикали,13039
